,일자,종목,내용
10,22.03.31,솔트룩스,■ 인공지능 및 빅데이터 기술력 보유■ 대화형 인공지능 서비스에 대한 수요 증가■ 레퍼런스 확장 및 새로운 서비스 출시를 통한 외형 성장 지향
11,22.03.31,HLB제약,"■ CSO, CMO 사업부를 필두로 종합 제약기업으로서의 기반 마련■ 자체 플랫폼 기술 기반 개량신약 파이프라인 확보■ 척수소뇌변성증 치료제 보험급여 등재 추진"
12,22.03.31,서암기계공업,■ 공작기계용 부품 전문기업■ 2021년 흑자 전환 및 우수한 재무구조 보유■ 전방산업인 공작기계산업의 회복세■ 제품 다각화
13,22.03.31,이브이첨단소재,■ FPCB & Circuit Module 전문기업■ 2021년 매출 증가와 함께 수익성과 현금흐름 개선■ 미래산업에 대비하여 투명 디스플레이와 센서를 개발
14,22.03.31,큐로홀딩스,"■ 커피사업, 엔터테인먼트, 자원개발 등으로 인류 행복 추구하는 기업■ 국내 커피시장 성장 및 고급커피 시장 확대■ 커피사업 집중 및 확대, 엔터테인먼트 및 자원개발사업 지속"
15,22.03.31,조광ILI,"■ 플랜트용 밸브 전문기업■ 신성장 동력제품으로 수소충전용과 원자력발전용 밸브 제품이 주목■ 전방산업인 조선산업, 플랜트산업의 수주 확대 전망"
16,22.03.31,디지틀조선,"■ 다양한 서비스를 제공하는 종합미디어 전문기업■ 인터넷신문, 뉴스 등 인터넷미디어를 활용한 정보제공 능력 보유■ 정부의 가상융합경제 본격화에 따른 차별화된 미디어로 시장 대응"
17,22.03.31,에스엠,■ Asia’s No.1 Entertainment Group■ F&B 사업 철수 및 해외법인 정리 ■ 메타버스·NFT·콘텐츠 분야 발굴 및 육성 나설 계획
18,22.03.31,아모그린텍,■ 나노/첨단소재 관련 원천기술 보유■ 친환경 에너지 수요 증가 등에 따른 수혜 기대■ ESG 트렌드 적극 대응
19,22.03.31,파커스,"■ 프린터 부품 전문기업, 헬스·뷰티케어 등 LED 응용 분야로 사업 확대 ■ 공정 효율화와 LED 신제품 출시를 통한 수익 개선 및 매출확대 노력■ 차별화된 LED 기술을 통한 사업 확장 전략 추진"
20,22.03.31,에쎈테크,■ 글로벌 기업을 고객사로 확보한 산업용 밸브 전문기업■ 오랜 업력 기반의 탄탄한 기술력과 높은 품질경쟁력■ 성공적인 신제품 출시에 이어 지속적인 개발 추진
21,22.03.31,엘앤에프,■ 차세대 에너지 소재 개발 및 제조 전문기업 ■ 세계적인 친환경 트렌드로 인한 리튬이온전지 양극재 시장 확대■ 대형 고객사 공급 계약을 통한 가파른 성장 예상
22,22.03.31,포스코 ICT,■ IT서비스 및 시스템 엔지니어링 기반 스마트 팩토리■ 4차 산업혁명/Digital 전환 관련해 시장점유율 확대 가능성■ 지속적 연구개발 기반 기술사업 확대 기대
23,22.03.31,KCI,■ 생활용품 원재료 사업 분야 영위■ 국내외 체외진단 시장 성장으로 사업 성장 가능성■ 신제품 개발로 세계 시장 진출 박차
24,22.03.31,듀오백,■ 30년 업력의 기능성 의자 전문기업으로 높은 브랜드 인지도 보유■ 국내 홈퍼니싱 시장 확대 및 온라인몰 강화에 힘입어 성장 전망■ 헬스케어 브랜드 ‘리얼컴포트’ 및 인테리어 브랜드 ‘바인츠’
25,22.03.31,캐스텍코리아,■ 국내 터보차저 부품 선도기업■ 지속적인 연구 및 투자를 통한 기술 개발■ 구축된 사업 역량을 통해 유연한 시장 대응 전망
26,22.03.31,케이프,■ 선박 엔진용 실린더 라이너 전문업체■ 주요제품에 특화된 생산 인프라 구축■ 지속적인 연구 및 투자를 통한 기술개발
27,22.03.31,와이오엠,■ PE 원료 유통 및 산업용 포장재 제조■ 지속적인 설비 투자를 통한 생산 역량 증대■ 소비재 산업 특성으로 인한 수요 지속 전망
28,22.03.31,앱코,"■ PC 게이밍기어 전문기업■ 재택근무와 원격 교육 증가, e-스포츠 활성화에 따른 전망■ 우수 기술경쟁력과 가격경쟁력을 바탕으로 사업 다각화에 성공"
29,22.03.31,삼성전기,"1Q22 Preview: 컨센서스에 부합하는 실적 전망삼성전기의 22년 1분기 매출액은 2조 5,328억원(YoY +11%, QoQ +4%), 영업이익은 4,165억원(YoY +17%, QoQ +32%)으로 전망한다. 이는 현재 컨센서스에 부합하는 실적이며, 기존 추정치를 소폭 상향하는 수치다. MLCC는 전분 기대비 가격이 하락하지만, 물량이 증가해 매출액이 증가하며 기존 전망치에 부합하는 실적을 달성할 것으로 추정된다. 패키지솔루션은 높은 가동률이 유지되며 전분기대비 매출액 증가폭이 크지 않지만, 우호적인 환율과 가격을 기반으로 견조한 수익성을 시현한다. 광학통신솔루션은 갤럭시 S22의 초도 물량 준비를 무난하게 진행하며, 중화권 스마트폰 업체들의 재고조정 속에서도 무난한 실적을 기록할 전망이다."
