,일자,제목,내용
10,25.08.22,스태그플레이션 라이트(Stagflation Life),"스태그플레이션 라이트(Stagflation Lite) 8월 동향: 미국 고용 지표 하향 조정 등에 경기 우려 부상했으나 소매판매, 산업생산 등 주요 동행지표 양호해 경기 우려 불식. 다만 그 동안 우호적 금융 환경 뒷받침한 금리 인하 기대가 물가 지표 발표 이후 약화. 재화 가격 상승세가 본격화되지 않았음에도 생산자물가 등 추후 물가 상승 위험 고조 비미국 경기는 국가별 정책 환경에 따라 차별적. 중국은 이구환신 정책 효과 약화 속 소비와 생산, 투자 모두 트리플 약세 경험. 반면 유로존은 누적된 금리 인하 효과, 일본은 참의원 선거 후 야권 중심 소비세 인하 기대 등으로 선방. 한국은 추경 효과 반영으로 소비 개선세 확인되나 정책 모멘텀 공백9월 전망: 미국 재고 소진 속 관세 발 스태그플레이션 라이트 경험 예상. 비용 부담이 경기 민감 소비재 및 구경제 투자 중심으로 경기 하방 압력 더해줄 전망. 물가 지표에서 뚜렷한 인플레 확인하겠으나 연준은 경기 하방 압력 완화 위해 25bp 금리 인하 단행 예상. 다만 공격적 인하 가능성 차단. 비미국은 미국향 수요 둔화에도 타격 상대적으로 미미할 전망. 전체 수출에서 미국향 비중 선제적으로 줄어든 결과. 다만 금융환경 악화에 따른 간접적 영향에 노출돼 심리 위축 예상. 상대적으로 경기 부진한 중국부터 추가 재정부양책 및 금리 인하 등을 통해 대응할 전망"
11,25.08.22,"Focus on Week: 보험성 금리인하, 한국이 더 필요한 ..","금리 인하 기대 높아진 미국과 달리 금리 인하 시급성에 대한 기대 낮아지는 모습을 보이는 한국. 그러나 미국보다 한국이 금리 인하 필요성과 명분이 오히려 더 높아 보임 금융시장 투자자들의 관심이 주말 예정된 연준의 잭슨홀미팅이나 정부의 자본시장 관련 법안 개정 움직임 등에 몰려 있어 관심이 적지만 다음주 예정된 금융통화위원회는 여전히 주목해야하는 이벤트다. 특히 최근에는 연준의 금리 인하 기대가 급상승한 반면 한은 금리인하에 대한 기대는 뒤로 밀리는 흐름도 나타나고 있어 한국과 미국 통화정책에 대한 기대가 묘한 대조를 이루고 있다. 미국의 금리 인하 기대는 트럼프 대통령의 노골적인 압박도 영향이 있지만, 악화된 고용지표가 미국 경기에 대한 우려를 자극하고 우려가 이른바 ‘보험성 금리인하’ 기대를 자극하며 9월 금리인하 확률이 높아진 상황이다. 반면, 우리나라는 새정부 출범 이후 대내적 불확실성 제거와 새정부 경기 부양에 대한 기대 및 빠르게 진행된 추경 집행 등으로 경기 지표가 반등하고 향후 경기에 대한 기대가 높아지며 금리 인하 시급성에 대한 판단이 후퇴하는 모습이다. 여기에 부동산 과열에 대한 잔존하는 우려와 목표치를 넘나드는 물가로 인한 한국은행의 고민도 금리인하에 대한 기대를 뒤로 미루게 하고 있다. 그러나 시장의 표면적인 흐름 아래로 한걸음 더 들어가 경제 펀더멘탈의 기조적인 흐름을 보면, 우리나라의 금리 인하 필요성과 시급성은 7월 이전의 상황에 비해 낮아졌다고 보기 어렵고 미 연준과 비교해 볼 때 한은의 금리 인하 필요성과 명분이 더 높다는 판단이다. 미국 시장에서 많이 거론되는 ‘보험성 금리인하’가 오히려 우리나라에서 더 필요하다는 생각이다. 우선 그 이유는 경기 회복의 지속성과 관련한 우려다. 최근 우리 경기 회복 기류는 기대감과 추경 효과에 기인한다. 2분기 GDP가 불안요인 해소 및 새정부 정책 기대감으로 전기대비 0.4% 상승했다면 실제 추경이 집행되고 민생회복 지원금 사용이 집중되는 3분기는 전기대비 1% 가까운 성장률이 기대된다. 하지만 문제는 소비 지원 정책이 종료되는 11월 이후의 상황이다. 본질적인 소비 여건의 개선이 수반되지 못한 상황에서 직접적이지만 한시적인 소비지원만으로 경기를 추세적으로 끌어 올리기는 쉽지 않다. 지난 7월 부진한 중국 경제지표는 시사하는 바가 있다. 올해 들어 중국 경제지표는 여러가지 우려에도 불구하고 기대치를 상회하며 선전하는 모습을 보여줬는데 그 배경에는 수출 경기 호조 외에 ‘이구환신’으로 대변되는 소비경기 부양 조치들이 기여한 것으로 평가된다. 그런데 7월에는 수출 지표가 여전히 견조함에도 불구하고 소비와 투자가 둔화되며 전체 경기 흐름을 가라앉게 만들었다. 소비지표의 부진은 배정된 자금이 고갈되며 일부 지방에서‘이구환신’이 중단된 영향이 반영된 것으로 보인다. 소비 여력에 대한 개선 없이 한시적인 보조금에 의한 경기 부양의 취약성을 보여주는 사례로 볼 수 있다."
12,25.08.21,엇갈린 심리 변화: FOMC-FinBERT 분석,"성장에 대한 심리 변화7 월 FOMC 의사록의 FinBERT-FOMC 모델 분석 결과에서 성장에 대한 긍정 비율은 64%로 6 월(60%) 대비 반등하였다. 다만 부정 비율은 26%로 6 월(24%) 대비 소폭 상승하였다. 1 월(67%) 고점 이후 둔화되던 낙관론이 7 월에 소폭 회복되었지만, 동시에 우려 언급도 증가하면서 심리가 엇갈리고 있다. 특히 소비둔화, 주택투자 약세, 설비투자 불확실성에 대한 언급은 하반기 성장 완화의 주된 요인으로 지목되었다. 연준의 성장에 대한 심리는 “둔화 속 견조”에 가까우며 금리 인하를 지지할 정도의 악화는 아니라고 판단된다. 따라서 금리 인하보다는 당분간 관망하는 정책을 유지할 것으로 예상된다."
13,25.08.21,잭슨홀미팅 미리보기,"잭슨홀미팅에 대한 관심 다시 고조월초 발표된 부진한 고용지표에 시장 예상에 부합하는 물가지표로 9월 금리인하가 기정사실화되면서 관심이 사라졌던 잭슨홀미팅에 대한 관심이 재부각되고 있다. CPI를 선행하는 PPI와 수입물가가 시장 예상을 상회하며 물가에 대한 우려가 다시 확대되고 있기 때문이다. 여전히 시장의 9월 금리인하 기대가 높은 수준으로 유지되고 있으며, 연준의장의 직접적인 매파 발언이 부재할 경우 9월 인하 가능성이 크다. 하지만 그 외에 추후 연준의 금리 인하 속도, 중장기 통화정책 프레임워크 변화(평균물가목표제 수정 여부), 고용시장에 대한 연준의 시각 등에 따라 시장 반응은 상이하게 나타날 것으로 예상한다. 특히 이번 잭슨홀미팅의 주제가 ‘전환기의 고용시장’인만큼, 중장기적으로 통화정책 경로를 결정지을 수 있다는 점에서 고용시장에 대한 연준의 시각에 주목할 필요가 있다."
14,25.08.21,"한국, 건설투자 발 성장률 착시 효과",올해 한국 성장 전망 하향 핵심 근거: 부진한 건설투자의 회복 지연한국은행과 한국개발연구원 등 주요 연구기관에서 올해 한국 성장률 전망치를 0.8%로 하향했다. 전망 하향의 핵심 근거로 대외 불확실성과 건설투자 회복 지연을 거론했다. 금번 자료에서는 건설투자 부진의 영향에 주목해봤다. 올해 2분기 GDP 성장률은 전년동월대비 0.5%를 기록했다. 그 중 건설투자 성장 기여도는 -1.9%p로 건설투자 부진이 없었다면 2% 성장세다. 건설투자의 GDP 성장 기여도는 5개 분기 연속 마이너스(-)를 유지했다. 금리 상승기 위축된 건설수주가 시차를 두고 공사 실적에 반영된 결과이다. 성장률 수치만 보면 경기 부진이 심각하다. 다만 과거보다 약화된 건설 경기 파급효과를 고려하면 부진한 건설 경기에도 상반기 양호했던 경기 시각을 다시 살펴볼 필요가 있다.
15,25.08.21,"08/21, Kiwoom Morning Letter","Comment- 20일(수) 코스피는 인공지능 거품론이 대두되며 미국 기술주가 급락한 여파와 잭슨홀 미팅을 앞두고 약세를 보이며 3,130.09로 하락 마감(KOSPI -0.68%, KOSDAQ -1.31%). 기관은 5천164억만원 순매수했으나, 외국인이 2천330억원, 개인이 3천925억원 순매도한 것도 하방 압력으로 작용. NAVER(-1.77%), 엔씨소프트(-3.43%), 카카오페이(-4.74%) 등 AI관련주 하락 마감. 전날에 이어 한전KPS(-2.21%), 한전기술(-3.65%), 한신기계(-3.18%) 등 약세 지속. 삼성전자(0.71%)는 상승, SK하이닉스(-2.85%)는 하락 마감. 전반적으로 주도주 약세가 국내 증시 하락 주도. 코스닥 지수는 외국인과 기관이 각각 425억원, 855억원 순매도, 알테오젠(-1.41%), 에코프로(-2.48%) 등 약세를 보이며 777.61로 하락 마감."
16,25.08.21,"잭슨홀 미팅, 파코(PACO) 시그널 나올까?","파월의장, 신중한 입장 견지하겠지만...연례 행사지만 올해도 잭슨 홀 미팅에 대한 금융시장 관심이 어김없이 커지고 있다. 9월 FOMC 금리인하에 대한 시장의 관심이 크다는 반증이다. 물론 가능성은 크게 줄어들고 있지만 지난해 9월과 같은 빅컷(50bp) 금리인하에 대한 불씨가 있을지에 대해서도 금융시장은 관심을 가지고 있다. 지난해를 돌이켜 보면 잭슨홀 미팅은 주식시장 입장에서 전환점이자 랠리의 시발점 역할을 했다. 지난해 8월초 발표된 실업률 쇼크와 엔 캐리 트레이드 청산 등으로 8월 글로벌 증시가 큰 폭으로 조정 받던 상황에서 파월의장은 잭슨홀 미팅에서 금리인하 시그널을 금융시장에 선사한 바 있다. 최근 5년간 잭슨홀 미팅에서 파월의장은 금융시장 관심사에 대해 언급을 함으로써 주식시장 등 금융시장의 단기 변동성을 확대시키는 결과를 초래했다. 연도별 잭슨홀 핵심 내용을 정리하면 다음과 같다.□ 2020년 잭슨홀 미팅: 평균 물가목표제(AIT) 도입 발표 및 인플레이션이 일정기간 2%를 상회해도 금리인하 서두르지 않겠다고 발표(미국 주식시장 안도)□ 2021년 잭슨홀 미팅: 물가 상승은 일시적일 가능성이 높다고 언급(추후 파월의장 판단 오류 판명.)(미국 주식시장 하락)□ 2022년 잭슨홀 미팅: 인플레이션 억제 강조(미국 주식시장 하락세 지속)□ 2023년 잭슨홀 미팅: 추가 금리인상에 신중한 입장 표명(미국 주식시장 안도)□ 2024년 잭슨홀 미팅: 금리인하 시그널(미국 주식시장 랠리)5년간 잭슨홀 미팅에서 파월의장의 발언에 따른 금융시장 반응에서 보듯 단기적으로 주식 및 채권시장 변동성을 높이는 재료로 작용한 것은 분명하다. 다만, 잭슨홀 미팅 발언이 금융시장의 추세적 방향성을 결정하지 않았다는 점도 주목해야 한다. 오히려 물가 흐름에 따른 국채 금리 흐름 혹은 미 연준의 금리정책이 궁극적으로 금융시장에 큰 영향을 미쳤다. 대표적으로 파월의장의 오명으로 기록되는 21년 잭슨홀 미팅에서 파월의장은 물가상승을 일시적으로 판단하고 완만한 통화정책 기조를 유지할 것이라고 밝혔지만 당시 물가상승폭이 확대되는 등 스태그플레이션 리스크가 가시화되면서 국채 금리는 추세적으로 상승했고 주가는 결국 큰 폭으로 조정되었다. 역으로 지난해의 경우 파월의장이 금리인하 시그널을 던져주기도 했지만 9월 FOMC회의에서 디스인플레이션 기대감을 반영해 예상 밖의 빅컷을 단행한 것이 주식시장 랠리로 이어졌다. 결국 최근에는 물가 향방이 중요 변수이고 관련한 국채 금리 추이가 주가 및 경기에 큰 영향을 주고 있다. 따라서 이번 잭슨홀 연설 내용은 주식 및 채권시장의 추세적 방향성을 결정하지 못할 것이다. 다만, 신중한 입장을 취할 것으로 예상되는 파월의장 발언 속에 일부에서 언급하는 타코(TACO)가 아닌 파코(PACO: Powell Always Chickens Out) 분위기, 즉 트럼프 대통령 압박에 파월의장이 다소 물러서는 모습을 취할지가 관심사항이다."
17,25.08.20,"08/20, Kiwoom Morning Letter","Comment- 19일(화) 코스피는 미국·러시아·우크라이나 3자 회담 가능성, 미 기준금리 향방, 세제 개편안 등 대내외 불확실성이 지속되며 투자심리가 위축, 외국인 투자자 4천535억원 순매도가 유입돼 3,151.56로 하락마감(KOSPI -0.81%, KOSDAQ -1.26%). 한편, 개인과 기관은 각각 886억원, 2천531억원 순매수. 한국수력원자력과 한국전력이 미국 웨스팅하우스와 맺은 지식재산권 분쟁 종료 합의문이 알려지며 한국전력(-5.32%), 한전KPS(-8.70%), 한전기술(-8.04%) 등 급락. 세계 최대 게임 전시회를 앞두고 펄어비스(7.80%), 크래프톤(4.79%)등 게임주 강세. 중국이 해외 드라마 할당량에 대한 제한 완화를 논의하며 스튜디오드래곤(8.94%), 하이브(2.50%) 등 엔터·미디어주 상승. 코스닥시장은 외국인과 기관의 이틀 연속 순매도세 지속되며 787.96로 하락 마감."
18,25.08.19,"08/19, Kiwoom Morning Letter","Comment- 18일(월) 코스피는 미국 관세 부담과 인플레이션 압력에 전장 대비 1.5% 급락하며 3,177.28로 마감(KOSPI -1.50%, KOSDAQ -2.11%). 미국 7월 CPI가 0.9% 상승하며 인플레이션 우려 커진 영향. 외국인은 5천395억원 순매도, 개인과 기관은 각각 3천548억원, 810억원 순매수로 대응. 반도체 관세 계획이 발표된다는 소식에 삼성전자(-2.23%), SK하이닉스(-3.25%) 하락 마감. 업종별로는 전기·전자(-2.68%), 유통(-1.09%), 화학(-1.41%), 증권(-1.64%) 등 하락, 의료·정밀기기(0.36%)와 운송·창고(1.86%)등은 상승 마감. 코스닥시장에서 외국인과 기관은 순매도세에 지수 하방 압력. 에코프로비엠(-5.40%), 펩트론(-8.49%), 파마리서치(-2.34%)등 시총 상위 종목 하락 마감. 넥스트레이드는 시장 거래량 제한을 위해 총 79개 종목의 거래 일시 중단 결정."
19,25.08.18,7월 중국 실물지표: 여전히 정책이 필요해,"생산과 소비, 투자 전반적으로 예상 하회산업생산: 전년동월대비 5.7% 증가. 민간기업(+5.0%) 중심으로 생산이 둔화됐고, 제조업(+6.2%)도 철강과 유틸리티를 제외하면 대체로 생산 증가율 하락. 관세 불확실성에 따른 제조업 회복 부담 반영소매판매: 전년동월대비 3.7% 증가. 외식(+1.1%) 소비 회복이 더딘 가운데 재화(+4.0%) 소비도 둔화. 통신기기 소비는 비교적 양호했지만, 가전제품 소비 증가세가 약해졌고 자동차(-1.5%) 판매도 감소 전환. 내수 정책 영향력이 흐려지고 있음고정자산투자: 전년누계대비 1.6% 증가. 부동산(-12.0%) 투자 부진과 인프라(+3.2%) 투자 둔화 지속. 민간 투자(-1.5%) 감소 폭도 확대. 투자 회복에는 어느정도 시간이 필요해 보임"
